project,datapoint,n_commits,n_files,n_files_updated_i,shared_files
commons-lang,463a65b82d5407907eb384e7107ba42822197af0_bc22786f3ec98bfe16bb16710069aeb7895965aa,2,13,6,3
commons-lang,463a65b82d5407907eb384e7107ba42822197af0_821c250b52c4219511170b9b7a2fc279df69d6a4,3,14,2,3
commons-lang,463a65b82d5407907eb384e7107ba42822197af0_8897cece9243cf880135de89cb90359cef31a560,4,24,18,10
commons-lang,821c250b52c4219511170b9b7a2fc279df69d6a4_8897cece9243cf880135de89cb90359cef31a560,2,19,18,0
commons-lang,821c250b52c4219511170b9b7a2fc279df69d6a4_c224e677b4c13830cb42a128afd65275be7582e7,3,21,2,0
commons-lang,2f8a51e900fe9909e6bae40ef9ef8f465a33ab7f_1719697c9d6e1144c9f6aac2c0177b1a85ce95a6,2,9,8,0
commons-lang,6a5a915f2b854566b60441f0a9ecadbe656dd60d_87880f2a63ffe6288b1e89d14c2eb8a6da1cbfb5,2,7,7,1
commons-lang,6a5a915f2b854566b60441f0a9ecadbe656dd60d_c324f2a67663842dc4f53182626d733ceb9203cb,3,8,3,3
commons-lang,6a5a915f2b854566b60441f0a9ecadbe656dd60d_af6ad93f53cc7ee8406d670098afc43663b2594a,4,8,2,4
commons-lang,c324f2a67663842dc4f53182626d733ceb9203cb_af6ad93f53cc7ee8406d670098afc43663b2594a,2,2,2,2
commons-lang,c324f2a67663842dc4f53182626d733ceb9203cb_2f4a7091d0f034a10fadcb31642415f235aa901b,3,4,4,2
commons-lang,40fea3cd7100a2f2975c7f5224010d10f3b4a12f_4627d76a02887a134bbd49e88c92eb3a809d481a,2,4,3,0
commons-lang,40fea3cd7100a2f2975c7f5224010d10f3b4a12f_3b008e5106799fc098c3bb25035673e72025e781,3,7,3,0
commons-lang,0168c810fa794143b64a8b9481097c5e707f3b10_599286c50c78bebfafb45363b5f89e9dc5e03d33,2,7,6,0
commons-lang,0168c810fa794143b64a8b9481097c5e707f3b10_f854e0a9112461b92d4da972619258d7095e7b12,3,9,2,0
commons-lang,0168c810fa794143b64a8b9481097c5e707f3b10_7bb3e3cb931a997637cabc3901f0329b10820e03,4,12,3,0
commons-lang,f854e0a9112461b92d4da972619258d7095e7b12_7bb3e3cb931a997637cabc3901f0329b10820e03,2,4,3,0
commons-lang,f854e0a9112461b92d4da972619258d7095e7b12_9ad919b34a54d505455d5295ffa667ae33f59b52,3,6,2,0
commons-lang,f854e0a9112461b92d4da972619258d7095e7b12_8dc25741915b30cf64960395708be0e3debfc888,4,7,1,0
commons-lang,9ad919b34a54d505455d5295ffa667ae33f59b52_8dc25741915b30cf64960395708be0e3debfc888,2,2,1,0
commons-lang,9ad919b34a54d505455d5295ffa667ae33f59b52_c7218dd0df7304a2f25e7359b0c39df93b315641,3,3,1,0
commons-lang,9ad919b34a54d505455d5295ffa667ae33f59b52_13207a88a64ded4240aa19c42351e613aadb3ad1,4,9,6,0
commons-lang,c7218dd0df7304a2f25e7359b0c39df93b315641_13207a88a64ded4240aa19c42351e613aadb3ad1,2,7,6,0
commons-lang,3ad582e66f18e7f30c64cede7ec1aadedf714444_1f85d11973ff4063e9e077a757410ab7120e9e6a,2,4,4,1
commons-lang,3ad582e66f18e7f30c64cede7ec1aadedf714444_7ff22e0f19f41846c27b77ae41f696d820515242,3,11,9,2
commons-lang,a4776f33ca73b244f3b84cc3d9d70da30e6fdd7a_70de8cc81082b1a1bd25be1c0453b3a2adb89b02,2,10,10,1
commons-lang,a4776f33ca73b244f3b84cc3d9d70da30e6fdd7a_539301adf5f9a37e05e79e7bf52e7192859efceb,3,16,6,1
commons-lang,a4776f33ca73b244f3b84cc3d9d70da30e6fdd7a_d86624a196d79b95180a9a62f4eb8f4f155cf41a,4,18,2,1
commons-lang,539301adf5f9a37e05e79e7bf52e7192859efceb_d86624a196d79b95180a9a62f4eb8f4f155cf41a,2,3,2,0
commons-lang,539301adf5f9a37e05e79e7bf52e7192859efceb_b20ba54c993ccbb0ad0e8ab55663fbf03bea619f,3,4,3,2
commons-lang,539301adf5f9a37e05e79e7bf52e7192859efceb_0e3393706cb8c7a434be62d071d382d06993520a,4,6,2,2
commons-lang,b20ba54c993ccbb0ad0e8ab55663fbf03bea619f_0e3393706cb8c7a434be62d071d382d06993520a,2,3,2,0
commons-lang,b20ba54c993ccbb0ad0e8ab55663fbf03bea619f_f8fcbbaa96198a5d24ff5db4413f8d1f0ebf0c41,3,5,3,1
commons-lang,b20ba54c993ccbb0ad0e8ab55663fbf03bea619f_143536dcc58cbeacc126b170dd5441e6dad35288,4,13,10,3
commons-lang,f8fcbbaa96198a5d24ff5db4413f8d1f0ebf0c41_143536dcc58cbeacc126b170dd5441e6dad35288,2,11,10,0
